position,artist_name,song_name,days,top_10_x_times,peak_position,peak_position_x_times,peak_streams,total_streams,track_name,artists_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,cover_url
4738,BLACKPINK ,Typa Girl,7,0,21,0,625738,2606708,Typa Girl,BLACKPINK,1,2022,9,16,452,10,235549288,2,129,13,0,1,132,G,Major,92,53,62,7,0,63,10,https://i.scdn.co/image/ab67616d0000b2734aeaaeeb0755f1d8a8b51738
4827,Shakin' Stevens ,Merry Christmas Everyone,6,0,99,0,575946,2500731,Merry Christmas Everyone,Shakin' Stevens,1,1984,1,1,1087,0,351636786,90,35,5,0,0,101,C#,Minor,72,91,87,14,0,13,3,https://i.scdn.co/image/ab67616d0000b273d962f3b4235f8c6429a829fb
4862,BTS ,Butter,7,0,14,0,705599,2465485,Butter,BTS,1,2021,5,21,4779,6,1143647827,180,135,223,0,5,110,G#,Major,79,70,36,0,0,6,11,https://i.scdn.co/image/ab67616d0000b27317db30ce3f081d6818a8ad49
4965,Taylor Swift ,Style,10,0,118,0,325173,2333716,Style,Taylor Swift,1,2014,1,1,7830,42,786181836,94,111,151,4,82,95,D,Major,60,48,79,0,0,12,4,https://i.scdn.co/image/ab67616d0000b2739abdf14e6058bd3903686148
5042,Dua Lipa ,Levitating,7,0,48,0,458751,2225826,Levitating,Dua Lipa,1,2020,3,27,9833,0,797196073,233,82,531,1,1,103,F#,Minor,69,90,88,5,0,29,8,https://i.scdn.co/image/ab67616d0000b273d4daf28d55fe4197ede848be
5049,Charlie Puth ,That's Hilarious,7,0,29,0,466612,2215746,That's Hilarious,Charlie Puth,1,2022,4,8,686,2,146363130,11,6,12,0,15,108,F#,Major,71,55,44,74,0,11,6,https://i.scdn.co/image/ab67616d0000b273a3b39c1651a617bb09800fd8
5151,Chase Atlantic ,Swim,9,0,169,0,239063,2090134,Swim,Chase Atlantic,1,2017,10,4,2742,0,498960285,5,1,62,0,0,120,G#,Major,67,8,54,27,0,8,4,https://i.scdn.co/image/ab67616d0000b2735a0c2870f4f309e382d1fad6
5243,PSY ,That That (prod. & feat. SUGA of BTS),7,0,88,0,336517,1992512,That That (prod. & feat. SUGA of BTS),"PSY, Suga",2,2022,4,29,802,0,212109195,16,81,23,0,0,130,E,Major,91,91,96,3,0,3,9,https://i.scdn.co/image/ab67616d0000b273b5c128b71507ef309ff4912e
5253,TWICE ,Talk that Talk,7,0,83,0,361427,1986425,Talk that Talk,TWICE,1,2022,8,26,615,0,189476119,14,77,15,1,2,120,D#,Minor,77,78,91,14,0,33,12,https://i.scdn.co/image/ab67616d0000b273c3040848e6ef0e132c5c8340
5818,J Balvin ,Sigue,5,0,50,0,424226,1492771,Sigue,"Ed Sheeran, J Balvin",2,1996,11,24,1370,0,106933107,46,8,60,0,0,88,G,Major,89,59,64,5,0,19,7,Not Found
